Subject,Accuracy,Treatment Condition,Age Group
40,1,Control,Older
40,1,Control,Older
40,1,Control,Older
40,1,Control,Older
40,1,Treatment,Older
40,1,Treatment,Older
40,1,Control,Older
40,0,Control,Older
40,1,Treatment,Older
40,1,Control,Older
40,1,Control,Older
40,1,Control,Older
40,1,Treatment,Older
40,1,Treatment,Older
40,1,Treatment,Older
40,1,Treatment,Older
40,1,Control,Older
40,1,Control,Older
40,0,Control,Older
40,1,Treatment,Older
40,1,Control,Older
40,1,Treatment,Older
41,1,Treatment,Older
41,0,Treatment,Older
41,1,Treatment,Older
41,1,Control,Older
41,0,Control,Older
41,0,Treatment,Older
41,1,Control,Older
41,0,Treatment,Older
41,1,Control,Older
41,0,Treatment,Older
41,0,Control,Older
41,1,Treatment,Older
41,1,Treatment,Older
41,0,Treatment,Older
41,1,Treatment,Older
41,0,Control,Older
41,1,Treatment,Older
41,1,Treatment,Older
41,1,Treatment,Older
41,1,Treatment,Older
41,0,Treatment,Older
41,1,Control,Older
41,1,Treatment,Older
41,1,Treatment,Older
41,1,Control,Older
41,1,Control,Older
41,1,Control,Older
41,1,Treatment,Older
41,1,Treatment,Older
41,1,Treatment,Older
41,0,Control,Older
41,1,Treatment,Older
41,1,Treatment,Older
41,1,Treatment,Older
41,1,Treatment,Older
41,1,Control,Older
41,1,Treatment,Older
41,1,Control,Older
41,1,Control,Older
41,1,Treatment,Older
41,0,Control,Older
41,1,Control,Older
41,0,Control,Older
41,1,Control,Older
41,0,Control,Older
41,1,Treatment,Older
41,1,Control,Older
41,1,Treatment,Older
41,1,Control,Older
41,1,Treatment,Older
41,1,Control,Older
41,1,Control,Older
41,1,Control,Older
41,1,Control,Older
41,1,Control,Older
41,1,Control,Older
41,1,Treatment,Older
41,0,Treatment,Older
41,1,Control,Older
41,1,Control,Older
41,1,Treatment,Older
41,1,Control,Older
41,1,Control,Older
41,1,Control,Older
42,1,Treatment,Older
42,1,Treatment,Older
42,1,Control,Older
42,1,Treatment,Older
42,1,Treatment,Older
42,1,Control,Older
42,1,Treatment,Older
42,1,Control,Older
42,1,Control,Older
42,1,Control,Older
42,0,Treatment,Older
42,1,Control,Older
42,1,Treatment,Older
42,1,Treatment,Older
42,1,Treatment,Older
42,0,Control,Older
42,1,Control,Older
42,1,Control,Older
42,1,Treatment,Older
42,1,Treatment,Older
42,1,Treatment,Older
42,0,Control,Older
42,1,Treatment,Older
42,1,Treatment,Older
42,0,Treatment,Older
42,1,Treatment,Older
42,1,Control,Older
42,1,Treatment,Older
42,1,Treatment,Older
42,0,Control,Older
42,0,Control,Older
42,1,Control,Older
42,0,Control,Older
42,1,Control,Older
42,1,Treatment,Older
42,1,Treatment,Older
42,1,Treatment,Older
42,1,Treatment,Older
42,1,Control,Older
42,1,Control,Older
42,1,Control,Older
42,0,Control,Older
42,1,Treatment,Older
42,1,Control,Older
42,1,Control,Older
42,1,Control,Older
42,1,Treatment,Older
42,1,Control,Older
42,1,Treatment,Older
42,1,Control,Older
42,1,Treatment,Older
42,1,Treatment,Older
42,1,Control,Older
42,1,Treatment,Older
42,1,Treatment,Older
42,1,Control,Older
42,1,Control,Older
42,0,Treatment,Older
42,1,Treatment,Older
42,1,Control,Older
42,1,Control,Older
42,1,Control,Older
42,1,Treatment,Older
42,1,Control,Older
43,1,Control,Older
43,1,Control,Older
43,1,Treatment,Older
43,1,Treatment,Older
43,1,Treatment,Older
43,1,Treatment,Older
43,1,Control,Older
43,1,Control,Older
43,1,Control,Older
43,1,Treatment,Older
43,1,Treatment,Older
43,1,Control,Older
43,1,Treatment,Older
43,1,Treatment,Older
43,1,Treatment,Older
43,0,Control,Older
43,1,Treatment,Older
43,0,Treatment,Older
43,1,Treatment,Older
43,1,Treatment,Older
43,1,Control,Older
43,1,Treatment,Older
43,1,Control,Older
43,1,Treatment,Older
43,1,Control,Older
43,1,Control,Older
43,1,Treatment,Older
43,1,Treatment,Older
43,0,Control,Older
43,1,Treatment,Older
43,1,Treatment,Older
43,0,Treatment,Older
43,1,Control,Older
43,1,Treatment,Older
43,1,Treatment,Older
43,1,Control,Older
43,1,Control,Older
43,1,Treatment,Older
43,1,Treatment,Older
43,1,Control,Older
43,1,Treatment,Older
43,1,Control,Older
43,1,Treatment,Older
43,1,Treatment,Older
43,1,Control,Older
43,1,Control,Older
43,1,Control,Older
43,1,Treatment,Older
43,1,Control,Older
43,1,Control,Older
43,1,Control,Older
43,1,Treatment,Older
43,1,Control,Older
43,1,Treatment,Older
43,1,Control,Older
43,1,Control,Older
43,1,Control,Older
43,1,Control,Older
43,1,Treatment,Older
43,1,Control,Older
43,1,Control,Older
43,1,Control,Older
43,1,Treatment,Older
43,1,Control,Older
44,0,Control,Older
44,1,Treatment,Older
44,1,Treatment,Older
44,1,Treatment,Older
44,1,Treatment,Older
44,0,Control,Older
44,1,Treatment,Older
44,1,Treatment,Older
44,1,Control,Older
44,0,Treatment,Older
44,1,Treatment,Older
44,1,Control,Older
44,1,Control,Older
44,1,Treatment,Older
44,1,Control,Older
44,1,Control,Older
44,0,Treatment,Older
44,1,Control,Older
44,1,Treatment,Older
44,1,Treatment,Older
44,1,Treatment,Older
44,1,Control,Older
44,1,Control,Older
44,0,Control,Older
44,1,Control,Older
44,1,Treatment,Older
44,1,Control,Older
44,1,Control,Older
44,1,Control,Older
44,1,Treatment,Older
44,1,Control,Older
44,0,Treatment,Older
44,1,Treatment,Older
44,0,Treatment,Older
44,0,Treatment,Older
44,0,Control,Older
44,1,Treatment,Older
44,1,Treatment,Older
44,1,Control,Older
44,1,Control,Older
44,1,Treatment,Older
44,0,Control,Older
44,1,Treatment,Older
44,1,Control,Older
44,1,Control,Older
44,1,Control,Older
44,1,Control,Older
44,0,Treatment,Older
44,1,Control,Older
44,1,Treatment,Older
44,1,Treatment,Older
44,1,Treatment,Older
44,0,Control,Older
44,1,Treatment,Older
44,1,Treatment,Older
44,1,Treatment,Older
44,1,Control,Older
44,0,Control,Older
44,1,Control,Older
44,1,Control,Older
44,1,Treatment,Older
44,0,Control,Older
44,1,Treatment,Older
44,1,Control,Older
45,1,Treatment,Older
45,1,Control,Older
45,1,Control,Older
45,1,Control,Older
45,0,Treatment,Older
45,1,Control,Older
45,1,Control,Older
45,1,Treatment,Older
45,1,Control,Older
45,1,Treatment,Older
45,0,Treatment,Older
45,1,Treatment,Older
45,1,Treatment,Older
45,1,Control,Older
45,1,Control,Older
45,1,Control,Older
45,1,Treatment,Older
45,1,Control,Older
45,1,Control,Older
45,1,Control,Older
45,1,Control,Older
45,1,Treatment,Older
45,0,Control,Older
45,1,Control,Older
45,1,Control,Older
45,1,Treatment,Older
45,1,Control,Older
45,1,Control,Older
45,1,Treatment,Older
45,1,Control,Older
45,1,Treatment,Older
45,1,Treatment,Older
45,1,Control,Older
45,1,Control,Older
45,1,Treatment,Older
45,1,Treatment,Older
45,1,Treatment,Older
45,1,Treatment,Older
45,1,Treatment,Older
45,1,Control,Older
45,1,Control,Older
45,1,Control,Older
45,0,Control,Older
45,0,Control,Older
45,1,Treatment,Older
45,1,Treatment,Older
45,1,Control,Older
45,1,Treatment,Older
45,1,Control,Older
45,1,Treatment,Older
45,1,Control,Older
45,1,Treatment,Older
45,1,Control,Older
45,1,Control,Older
45,1,Treatment,Older
45,1,Treatment,Older
45,1,Treatment,Older
45,1,Treatment,Older
45,0,Control,Older
45,1,Treatment,Older
45,1,Treatment,Older
45,1,Treatment,Older
45,1,Treatment,Older
45,1,Treatment,Older
46,1,Treatment,Older
46,1,Treatment,Older
46,1,Treatment,Older
46,1,Control,Older
46,1,Control,Older
46,1,Control,Older
46,0,Treatment,Older
46,0,Treatment,Older
46,1,Treatment,Older
46,0,Treatment,Older
46,1,Control,Older
46,1,Control,Older
46,1,Control,Older
46,1,Treatment,Older
46,0,Treatment,Older
46,1,Treatment,Older
46,1,Treatment,Older
46,1,Treatment,Older
46,1,Treatment,Older
46,1,Treatment,Older
46,1,Control,Older
46,1,Treatment,Older
46,0,Control,Older
46,1,Control,Older
46,1,Treatment,Older
46,1,Treatment,Older
46,1,Control,Older
46,1,Control,Older
46,1,Control,Older
46,1,Treatment,Older
46,0,Control,Older
46,0,Control,Older
46,1,Treatment,Older
46,0,Control,Older
46,1,Treatment,Older
46,1,Treatment,Older
46,1,Control,Older
46,1,Treatment,Older
46,1,Control,Older
46,1,Treatment,Older
46,1,Treatment,Older
46,0,Treatment,Older
46,1,Control,Older
46,1,Control,Older
46,0,Control,Older
46,0,Control,Older
46,1,Treatment,Older
46,1,Control,Older
46,1,Control,Older
46,1,Control,Older
46,1,Control,Older
46,1,Treatment,Older
46,1,Treatment,Older
46,1,Treatment,Older
46,1,Treatment,Older
46,0,Control,Older
46,1,Control,Older
46,0,Control,Older
46,1,Control,Older
46,1,Control,Older
46,1,Treatment,Older
46,1,Treatment,Older
46,1,Control,Older
46,1,Control,Older
47,1,Control,Older
47,1,Control,Older
47,1,Treatment,Older
47,0,Control,Older
47,1,Control,Older
47,1,Control,Older
47,1,Treatment,Older
47,1,Treatment,Older
47,1,Treatment,Older
47,1,Treatment,Older
47,1,Treatment,Older
47,0,Control,Older
47,1,Control,Older
47,1,Control,Older
47,1,Treatment,Older
47,1,Control,Older
47,1,Treatment,Older
47,0,Treatment,Older
47,1,Treatment,Older
47,1,Control,Older
47,1,Treatment,Older
47,1,Control,Older
47,1,Treatment,Older
47,1,Control,Older
47,1,Treatment,Older
47,1,Treatment,Older
47,1,Treatment,Older
47,0,Control,Older
47,1,Treatment,Older
47,1,Control,Older
47,1,Treatment,Older
47,1,Control,Older
47,1,Control,Older
47,1,Treatment,Older
47,1,Control,Older
47,1,Treatment,Older
47,0,Treatment,Older
47,0,Control,Older
47,1,Treatment,Older
47,1,Control,Older
47,0,Treatment,Older
47,0,Control,Older
47,1,Treatment,Older
47,1,Control,Older
47,1,Control,Older
47,1,Control,Older
47,1,Treatment,Older
47,1,Control,Older
47,0,Control,Older
47,1,Treatment,Older
47,0,Treatment,Older
47,0,Treatment,Older
47,1,Control,Older
47,1,Control,Older
47,1,Control,Older
47,1,Treatment,Older
47,1,Treatment,Older
47,1,Control,Older
47,1,Control,Older
47,1,Control,Older
47,1,Treatment,Older
47,0,Control,Older
47,1,Treatment,Older
47,0,Treatment,Older
48,1,Treatment,Older
48,1,Treatment,Older
48,1,Control,Older
48,0,Treatment,Older
48,1,Treatment,Older
48,1,Control,Older
48,1,Control,Older
48,1,Treatment,Older
48,0,Treatment,Older
48,1,Control,Older
48,1,Control,Older
48,1,Control,Older
48,1,Control,Older
48,1,Control,Older
48,1,Treatment,Older
48,1,Treatment,Older
48,1,Control,Older
48,1,Control,Older
48,0,Control,Older
48,1,Treatment,Older
48,1,Treatment,Older
48,1,Treatment,Older
48,1,Treatment,Older
48,1,Treatment,Older
48,1,Control,Older
48,1,Control,Older
48,0,Control,Older
48,1,Control,Older
48,1,Control,Older
48,1,Treatment,Older
48,1,Control,Older
48,0,Treatment,Older
48,1,Treatment,Older
48,1,Control,Older
48,1,Treatment,Older
48,1,Control,Older
48,1,Control,Older
48,1,Control,Older
48,1,Treatment,Older
48,1,Control,Older
48,0,Control,Older
48,1,Treatment,Older
48,0,Treatment,Older
48,1,Treatment,Older
48,1,Control,Older
48,1,Treatment,Older
48,1,Treatment,Older
48,1,Control,Older
48,1,Control,Older
48,1,Control,Older
48,1,Treatment,Older
48,1,Treatment,Older
48,1,Control,Older
48,0,Treatment,Older
48,1,Control,Older
48,1,Treatment,Older
48,1,Treatment,Older
48,1,Treatment,Older
48,1,Treatment,Older
48,1,Treatment,Older
48,1,Control,Older
48,1,Control,Older
48,1,Treatment,Older
48,1,Control,Older
49,1,Control,Older
49,1,Treatment,Older
49,1,Treatment,Older
49,1,Treatment,Older
49,0,Control,Older
49,1,Control,Older
49,1,Control,Older
49,0,Treatment,Older
49,1,Control,Older
49,1,Treatment,Older
49,1,Control,Older
49,1,Control,Older
49,1,Treatment,Older
49,1,Control,Older
49,1,Treatment,Older
49,1,Treatment,Older
49,1,Treatment,Older
49,1,Control,Older
49,1,Treatment,Older
49,1,Treatment,Older
49,1,Treatment,Older
49,1,Control,Older
49,1,Treatment,Older
49,1,Control,Older
49,1,Treatment,Older
49,1,Control,Older
49,1,Treatment,Older
49,0,Control,Older
49,1,Treatment,Older
49,1,Control,Older
49,1,Treatment,Older
49,1,Treatment,Older
49,1,Control,Older
49,1,Control,Older
49,1,Treatment,Older
49,0,Control,Older
49,0,Control,Older
49,1,Control,Older
49,0,Treatment,Older
49,1,Control,Older
49,1,Control,Older
49,1,Treatment,Older
49,0,Control,Older
49,1,Control,Older
49,1,Control,Older
49,0,Treatment,Older
49,1,Control,Older
49,1,Treatment,Older
49,0,Control,Older
49,1,Control,Older
49,1,Treatment,Older
49,1,Control,Older
49,1,Treatment,Older
49,1,Treatment,Older
49,1,Treatment,Older
49,1,Treatment,Older
49,1,Treatment,Older
49,0,Control,Older
49,1,Control,Older
49,1,Control,Older
49,1,Treatment,Older
49,1,Treatment,Older
49,1,Control,Older
49,1,Treatment,Older
50,1,Treatment,Older
50,1,Control,Older
50,0,Treatment,Older
50,1,Control,Older
50,1,Control,Older
50,1,Control,Older
50,1,Treatment,Older
50,0,Control,Older
50,1,Control,Older
50,1,Treatment,Older
50,1,Treatment,Older
50,1,Control,Older
50,0,Treatment,Older
50,1,Treatment,Older
50,1,Control,Older
50,1,Control,Older
50,1,Treatment,Older
50,1,Treatment,Older
50,1,Treatment,Older
50,1,Control,Older
50,1,Treatment,Older
50,1,Treatment,Older
50,1,Control,Older
50,1,Control,Older
50,1,Control,Older
50,0,Treatment,Older
50,1,Treatment,Older
50,1,Control,Older
50,0,Control,Older
50,1,Control,Older
50,1,Control,Older
50,1,Control,Older
50,1,Control,Older
50,1,Control,Older
50,0,Control,Older
50,1,Treatment,Older
50,1,Treatment,Older
50,0,Treatment,Older
50,1,Treatment,Older
50,1,Treatment,Older
50,0,Treatment,Older
50,1,Treatment,Older
50,1,Treatment,Older
50,1,Control,Older
50,1,Control,Older
50,1,Treatment,Older
50,1,Control,Older
50,1,Control,Older
50,1,Control,Older
50,1,Control,Older
50,1,Control,Older
50,1,Treatment,Older
50,1,Treatment,Older
50,1,Control,Older
50,1,Control,Older
50,1,Treatment,Older
50,1,Treatment,Older
50,1,Treatment,Older
50,1,Treatment,Older
50,1,Treatment,Older
50,1,Control,Older
50,1,Treatment,Older
50,1,Control,Older
50,1,Treatment,Older
51,1,Treatment,Older
51,0,Control,Older
51,0,Control,Older
51,1,Control,Older
51,1,Treatment,Older
51,1,Control,Older
51,1,Treatment,Older
51,1,Control,Older
51,1,Control,Older
51,1,Treatment,Older
51,1,Control,Older
51,1,Treatment,Older
51,1,Control,Older
51,1,Control,Older
51,0,Treatment,Older
51,1,Control,Older
51,1,Treatment,Older
51,1,Control,Older
51,1,Treatment,Older
51,1,Treatment,Older
51,1,Treatment,Older
51,1,Control,Older
51,1,Treatment,Older
51,1,Control,Older
51,1,Treatment,Older
51,1,Treatment,Older
51,1,Treatment,Older
51,1,Control,Older
51,1,Control,Older
51,1,Treatment,Older
51,1,Control,Older
51,1,Control,Older
51,0,Control,Older
51,1,Treatment,Older
51,1,Control,Older
51,0,Control,Older
51,1,Treatment,Older
51,1,Treatment,Older
51,1,Treatment,Older
51,1,Control,Older
51,1,Treatment,Older
51,1,Treatment,Older
51,1,Treatment,Older
51,0,Treatment,Older
51,0,Treatment,Older
51,1,Control,Older
51,1,Control,Older
51,1,Control,Older
51,1,Treatment,Older
51,1,Control,Older
51,1,Treatment,Older
51,1,Control,Older
51,1,Control,Older
51,1,Treatment,Older
51,1,Control,Older
51,1,Treatment,Older
51,1,Treatment,Older
51,1,Treatment,Older
51,1,Treatment,Older
51,1,Treatment,Older
51,1,Control,Older
51,1,Control,Older
51,1,Control,Older
51,1,Control,Older
52,1,Control,Older
52,1,Treatment,Older
52,1,Control,Older
52,1,Control,Older
52,1,Control,Older
52,1,Treatment,Older
52,1,Treatment,Older
52,0,Control,Older
52,1,Control,Older
52,1,Treatment,Older
52,0,Control,Older
52,1,Treatment,Older
52,1,Treatment,Older
52,1,Control,Older
52,1,Control,Older
52,1,Treatment,Older
52,1,Control,Older
52,1,Treatment,Older
52,1,Control,Older
52,1,Treatment,Older
52,1,Control,Older
52,1,Control,Older
52,1,Treatment,Older
52,1,Control,Older
52,1,Treatment,Older
52,1,Treatment,Older
52,1,Treatment,Older
52,1,Treatment,Older
52,1,Treatment,Older
52,1,Treatment,Older
52,1,Control,Older
52,1,Control,Older
52,1,Treatment,Older
52,1,Treatment,Older
52,1,Control,Older
52,1,Treatment,Older
52,1,Treatment,Older
52,1,Control,Older
52,1,Control,Older
52,1,Control,Older
52,1,Treatment,Older
52,1,Control,Older
52,1,Treatment,Older
52,1,Treatment,Older
52,1,Treatment,Older
52,1,Control,Older
52,1,Treatment,Older
52,1,Control,Older
52,1,Control,Older
52,1,Control,Older
52,1,Treatment,Older
52,0,Control,Older
52,1,Control,Older
52,1,Control,Older
52,1,Treatment,Older
52,1,Treatment,Older
52,1,Treatment,Older
52,1,Control,Older
52,1,Control,Older
52,1,Treatment,Older
52,1,Treatment,Older
52,1,Control,Older
52,1,Control,Older
52,1,Treatment,Older
53,0,Control,Older
53,1,Treatment,Older
53,1,Treatment,Older
53,0,Control,Older
53,1,Treatment,Older
53,0,Control,Older
53,1,Treatment,Older
53,0,Control,Older
53,0,Treatment,Older
53,0,Treatment,Older
53,1,Control,Older
53,0,Control,Older
53,0,Control,Older
53,1,Control,Older
53,0,Treatment,Older
53,1,Control,Older
53,0,Treatment,Older
53,0,Control,Older
53,1,Treatment,Older
53,0,Control,Older
53,0,Treatment,Older
53,1,Treatment,Older
53,1,Treatment,Older
53,0,Treatment,Older
53,1,Treatment,Older
53,0,Treatment,Older
53,0,Treatment,Older
53,1,Control,Older
53,0,Treatment,Older
53,1,Treatment,Older
53,0,Treatment,Older
53,0,Control,Older
53,0,Control,Older
53,0,Treatment,Older
53,1,Control,Older
53,0,Control,Older
53,1,Treatment,Older
53,1,Control,Older
53,0,Control,Older
53,0,Control,Older
53,1,Treatment,Older
53,0,Control,Older
53,0,Control,Older
53,1,Control,Older
53,0,Treatment,Older
53,1,Treatment,Older
53,0,Control,Older
53,1,Treatment,Older
53,1,Control,Older
53,1,Treatment,Older
53,1,Treatment,Older
53,1,Control,Older
53,0,Control,Older
53,0,Control,Older
53,1,Control,Older
53,1,Treatment,Older
53,1,Control,Older
53,0,Control,Older
53,1,Treatment,Older
53,1,Control,Older
53,1,Treatment,Older
53,0,Treatment,Older
53,1,Control,Older
53,1,Treatment,Older
54,1,Treatment,Older
54,1,Treatment,Older
54,0,Control,Older
54,1,Control,Older
54,1,Treatment,Older
54,1,Control,Older
54,1,Control,Older
54,1,Control,Older
54,1,Treatment,Older
54,1,Treatment,Older
54,0,Control,Older
54,1,Treatment,Older
54,1,Control,Older
54,1,Treatment,Older
54,1,Treatment,Older
54,1,Control,Older
54,1,Control,Older
54,1,Control,Older
54,1,Control,Older
54,1,Treatment,Older
54,1,Treatment,Older
54,1,Treatment,Older
54,1,Treatment,Older
54,1,Treatment,Older
54,1,Treatment,Older
54,1,Control,Older
54,1,Control,Older
54,1,Control,Older
54,1,Treatment,Older
54,1,Control,Older
54,1,Control,Older
54,1,Control,Older
54,1,Treatment,Older
54,1,Control,Older
54,0,Control,Older
54,1,Control,Older
54,1,Control,Older
54,1,Control,Older
54,0,Treatment,Older
54,1,Treatment,Older
54,1,Treatment,Older
54,1,Treatment,Older
54,1,Treatment,Older
54,1,Treatment,Older
54,1,Control,Older
54,1,Control,Older
54,1,Treatment,Older
54,1,Treatment,Older
54,1,Treatment,Older
54,1,Control,Older
54,1,Treatment,Older
54,1,Treatment,Older
54,1,Treatment,Older
54,1,Control,Older
54,1,Control,Older
54,1,Treatment,Older
54,1,Control,Older
54,1,Treatment,Older
54,0,Control,Older
54,1,Control,Older
54,1,Control,Older
54,1,Treatment,Older
54,1,Treatment,Older
54,1,Control,Older
55,1,Treatment,Older
55,1,Control,Older
55,1,Control,Older
55,1,Control,Older
55,1,Treatment,Older
55,1,Control,Older
55,0,Treatment,Older
55,1,Treatment,Older
55,1,Treatment,Older
55,1,Treatment,Older
55,1,Control,Older
55,1,Treatment,Older
55,1,Control,Older
55,0,Control,Older
55,1,Treatment,Older
55,1,Treatment,Older
55,1,Treatment,Older
55,1,Treatment,Older
55,1,Control,Older
55,1,Treatment,Older
55,0,Control,Older
55,1,Control,Older
55,1,Control,Older
55,1,Treatment,Older
55,1,Treatment,Older
55,1,Control,Older
55,1,Treatment,Older
55,0,Treatment,Older
55,1,Treatment,Older
55,1,Treatment,Older
55,1,Control,Older
55,1,Control,Older
55,1,Control,Older
55,1,Control,Older
55,1,Treatment,Older
55,1,Treatment,Older
55,0,Treatment,Older
55,1,Treatment,Older
55,1,Control,Older
55,1,Control,Older
55,1,Treatment,Older
55,1,Control,Older
55,1,Treatment,Older
55,1,Control,Older
55,1,Control,Older
55,1,Control,Older
55,0,Control,Older
55,1,Control,Older
55,1,Treatment,Older
55,1,Control,Older
55,1,Control,Older
55,1,Control,Older
55,1,Treatment,Older
55,1,Control,Older
55,1,Treatment,Older
55,1,Treatment,Older
55,1,Control,Older
55,1,Treatment,Older
55,1,Control,Older
55,1,Treatment,Older
55,1,Treatment,Older
55,1,Treatment,Older
55,1,Control,Older
55,1,Control,Older
56,1,Treatment,Older
56,1,Treatment,Older
56,1,Control,Older
56,1,Control,Older
56,1,Treatment,Older
56,1,Control,Older
56,1,Treatment,Older
56,1,Control,Older
56,1,Treatment,Older
56,1,Treatment,Older
56,1,Control,Older
56,1,Treatment,Older
56,1,Control,Older
56,1,Control,Older
56,1,Control,Older
56,1,Control,Older
56,1,Treatment,Older
56,1,Control,Older
56,1,Control,Older
56,1,Treatment,Older
56,1,Control,Older
56,1,Treatment,Older
56,1,Control,Older
56,1,Treatment,Older
56,0,Control,Older
56,1,Treatment,Older
56,1,Treatment,Older
56,1,Treatment,Older
56,1,Control,Older
56,1,Control,Older
56,1,Control,Older
56,1,Treatment,Older
56,0,Control,Older
56,1,Treatment,Older
56,1,Control,Older
56,0,Treatment,Older
56,1,Control,Older
56,1,Treatment,Older
56,0,Control,Older
56,1,Treatment,Older
56,1,Control,Older
56,1,Treatment,Older
56,1,Control,Older
56,1,Treatment,Older
56,1,Control,Older
56,1,Control,Older
56,1,Treatment,Older
56,1,Treatment,Older
56,0,Control,Older
56,1,Control,Older
56,0,Treatment,Older
56,1,Treatment,Older
56,1,Treatment,Older
56,1,Control,Older
56,1,Control,Older
56,1,Control,Older
56,0,Control,Older
56,1,Treatment,Older
56,1,Control,Older
56,1,Treatment,Older
56,1,Treatment,Older
56,1,Treatment,Older
56,1,Treatment,Older
56,1,Treatment,Older
57,1,Control,Older
57,1,Treatment,Older
57,1,Treatment,Older
57,1,Control,Older
57,1,Treatment,Older
57,0,Control,Older
57,1,Treatment,Older
57,1,Control,Older
57,1,Treatment,Older
57,1,Control,Older
57,1,Control,Older
57,1,Treatment,Older
57,1,Treatment,Older
57,1,Control,Older
57,1,Control,Older
57,1,Treatment,Older
57,1,Treatment,Older
57,1,Treatment,Older
57,1,Treatment,Older
57,0,Control,Older
57,1,Treatment,Older
57,1,Treatment,Older
57,1,Treatment,Older
57,1,Control,Older
57,1,Treatment,Older
57,1,Treatment,Older
57,1,Treatment,Older
57,1,Treatment,Older
57,1,Control,Older
57,0,Control,Older
57,1,Treatment,Older
57,1,Treatment,Older
57,1,Control,Older
57,1,Treatment,Older
57,1,Control,Older
57,1,Treatment,Older
57,1,Treatment,Older
57,1,Treatment,Older
57,1,Treatment,Older
57,1,Treatment,Older
57,1,Control,Older
57,1,Control,Older
57,1,Control,Older
57,1,Treatment,Older
57,1,Control,Older
57,1,Treatment,Older
57,1,Control,Older
57,1,Control,Older
57,1,Control,Older
57,1,Control,Older
57,1,Control,Older
57,1,Control,Older
57,1,Control,Older
57,1,Treatment,Older
57,1,Treatment,Older
57,1,Treatment,Older
57,1,Control,Older
57,1,Control,Older
57,1,Control,Older
57,1,Control,Older
57,1,Treatment,Older
57,1,Control,Older
57,1,Control,Older
57,1,Control,Older
58,1,Control,Older
58,1,Treatment,Older
58,1,Control,Older
58,1,Treatment,Older
58,1,Control,Older
58,1,Control,Older
58,1,Control,Older
58,1,Treatment,Older
58,1,Control,Older
58,1,Treatment,Older
58,1,Treatment,Older
58,1,Treatment,Older
58,1,Treatment,Older
58,1,Treatment,Older
58,1,Treatment,Older
58,1,Treatment,Older
58,1,Treatment,Older
58,1,Treatment,Older
58,1,Control,Older
58,1,Treatment,Older
58,1,Control,Older
58,1,Treatment,Older
58,1,Treatment,Older
58,1,Treatment,Older
58,1,Control,Older
58,0,Control,Older
58,1,Control,Older
58,1,Treatment,Older
58,1,Control,Older
58,1,Control,Older
58,1,Control,Older
58,1,Treatment,Older
58,1,Treatment,Older
58,1,Treatment,Older
58,1,Treatment,Older
58,1,Treatment,Older
58,1,Treatment,Older
58,1,Control,Older
58,1,Control,Older
58,1,Control,Older
58,1,Control,Older
58,1,Control,Older
58,1,Control,Older
58,1,Treatment,Older
58,1,Treatment,Older
58,1,Treatment,Older
58,1,Control,Older
58,1,Treatment,Older
58,1,Control,Older
58,1,Treatment,Older
58,1,Control,Older
58,1,Control,Older
58,1,Control,Older
58,0,Control,Older
58,1,Treatment,Older
58,1,Control,Older
58,1,Control,Older
58,1,Control,Older
58,1,Treatment,Older
58,1,Control,Older
58,1,Control,Older
58,1,Treatment,Older
58,1,Treatment,Older
58,1,Control,Older
59,1,Control,Older
59,1,Control,Older
59,1,Treatment,Older
59,1,Control,Older
59,1,Treatment,Older
59,1,Treatment,Older
59,1,Treatment,Older
59,1,Treatment,Older
59,1,Control,Older
59,1,Treatment,Older
59,1,Control,Older
59,1,Treatment,Older
59,1,Control,Older
59,0,Control,Older
59,1,Control,Older
59,1,Treatment,Older
59,0,Control,Older
59,1,Treatment,Older
59,1,Treatment,Older
59,1,Control,Older
59,1,Control,Older
59,1,Treatment,Older
59,1,Treatment,Older
59,1,Control,Older
59,1,Treatment,Older
59,1,Treatment,Older
59,1,Treatment,Older
59,1,Control,Older
59,1,Treatment,Older
59,1,Treatment,Older
59,1,Control,Older
59,0,Control,Older
59,1,Treatment,Older
59,1,Treatment,Older
59,1,Control,Older
59,1,Treatment,Older
59,0,Treatment,Older
59,1,Treatment,Older
59,1,Control,Older
59,1,Treatment,Older
59,1,Treatment,Older
59,1,Treatment,Older
59,1,Control,Older
59,1,Treatment,Older
59,1,Control,Older
59,1,Control,Older
59,1,Treatment,Older
59,1,Treatment,Older
59,1,Control,Older
59,1,Control,Older
59,1,Treatment,Older
59,1,Control,Older
59,1,Control,Older
59,0,Control,Older
59,1,Control,Older
59,1,Control,Older
59,1,Control,Older
59,1,Control,Older
59,1,Control,Older
59,1,Treatment,Older
59,1,Treatment,Older
59,1,Treatment,Older
59,1,Control,Older
59,0,Control,Older
60,1,Control,Older
60,1,Treatment,Older
60,1,Treatment,Older
60,1,Control,Older
60,1,Control,Older
60,0,Treatment,Older
60,0,Control,Older
60,1,Treatment,Older
60,1,Control,Older
60,1,Control,Older
60,1,Treatment,Older
60,0,Control,Older
60,1,Control,Older
60,0,Control,Older
60,1,Treatment,Older
60,1,Control,Older
60,1,Control,Older
60,1,Control,Older
60,1,Treatment,Older
60,1,Control,Older
60,1,Control,Older
60,1,Treatment,Older
60,1,Treatment,Older
60,1,Treatment,Older
60,1,Control,Older
60,1,Treatment,Older
60,1,Treatment,Older
60,1,Treatment,Older
60,0,Treatment,Older
60,1,Treatment,Older
60,1,Treatment,Older
60,1,Treatment,Older
