Subject,Accuracy,Time of Day,Treatment Condition
49,1,Morning,Treatment
49,1,Morning,Control
49,1,Morning,Treatment
49,1,Morning,Treatment
49,1,Morning,Treatment
49,1,Morning,Control
49,1,Morning,Treatment
49,1,Morning,Control
49,1,Morning,Treatment
49,1,Morning,Control
49,1,Morning,Treatment
49,0,Morning,Control
49,1,Morning,Treatment
49,1,Morning,Control
49,1,Morning,Treatment
49,1,Morning,Treatment
49,1,Morning,Control
49,1,Morning,Control
49,1,Morning,Treatment
49,0,Morning,Control
49,0,Morning,Control
49,1,Morning,Control
49,0,Morning,Treatment
49,1,Morning,Control
49,1,Morning,Control
49,1,Morning,Treatment
49,0,Morning,Control
49,1,Morning,Control
49,1,Morning,Control
49,0,Morning,Treatment
49,1,Morning,Control
49,1,Morning,Treatment
49,0,Morning,Control
49,1,Morning,Control
49,1,Morning,Treatment
49,1,Morning,Control
49,1,Morning,Treatment
49,1,Morning,Treatment
49,1,Morning,Treatment
49,1,Morning,Treatment
49,1,Morning,Treatment
49,0,Morning,Control
49,1,Morning,Control
49,1,Morning,Control
49,1,Morning,Treatment
49,1,Morning,Treatment
49,1,Morning,Control
49,1,Morning,Treatment
49,1,Night,Treatment
49,1,Night,Treatment
49,1,Night,Control
49,1,Night,Control
49,1,Night,Treatment
49,1,Night,Control
49,1,Night,Control
49,1,Night,Control
49,1,Night,Control
49,1,Night,Control
49,1,Night,Control
49,1,Night,Treatment
49,1,Night,Control
49,1,Night,Control
49,1,Night,Treatment
49,1,Night,Treatment
49,1,Night,Control
49,1,Night,Treatment
49,1,Night,Treatment
49,1,Night,Control
49,1,Night,Treatment
49,1,Night,Control
49,1,Night,Treatment
49,1,Night,Treatment
49,1,Night,Treatment
49,1,Night,Control
49,1,Night,Control
49,1,Night,Control
49,1,Night,Treatment
49,1,Night,Control
49,1,Night,Treatment
49,1,Night,Control
49,1,Night,Control
49,1,Night,Treatment
49,1,Night,Treatment
49,1,Night,Treatment
49,1,Night,Treatment
49,1,Night,Treatment
49,1,Night,Control
49,1,Night,Treatment
49,1,Night,Treatment
49,1,Night,Control
49,1,Night,Treatment
49,1,Night,Control
49,1,Night,Treatment
49,1,Night,Control
49,1,Night,Treatment
49,1,Night,Treatment
49,1,Night,Treatment
49,1,Night,Control
49,1,Night,Control
49,1,Night,Treatment
49,1,Night,Treatment
49,1,Night,Control
49,1,Night,Control
49,1,Night,Treatment
49,1,Night,Control
49,1,Night,Treatment
49,1,Night,Treatment
49,1,Night,Control
49,1,Night,Control
49,1,Night,Treatment
49,1,Night,Control
49,1,Night,Control
50,1,Morning,Treatment
50,1,Morning,Control
50,0,Morning,Treatment
50,1,Morning,Control
50,1,Morning,Control
50,1,Morning,Control
50,1,Morning,Treatment
50,0,Morning,Control
50,1,Morning,Control
50,1,Morning,Treatment
50,1,Morning,Treatment
50,1,Morning,Control
50,0,Morning,Treatment
50,1,Morning,Treatment
50,1,Morning,Control
50,1,Morning,Control
50,1,Morning,Treatment
50,1,Morning,Treatment
50,1,Morning,Treatment
50,1,Morning,Control
50,1,Morning,Treatment
50,1,Morning,Treatment
50,1,Morning,Control
50,1,Morning,Control
50,1,Morning,Control
50,0,Morning,Treatment
50,1,Morning,Treatment
50,1,Morning,Control
50,0,Morning,Control
50,1,Morning,Control
50,1,Morning,Control
50,1,Morning,Control
50,1,Morning,Control
50,1,Morning,Control
50,0,Morning,Control
50,1,Morning,Treatment
50,1,Morning,Treatment
50,0,Morning,Treatment
50,1,Morning,Treatment
50,1,Morning,Treatment
50,0,Morning,Treatment
50,1,Morning,Treatment
50,1,Morning,Treatment
50,1,Morning,Control
50,1,Morning,Control
50,1,Morning,Treatment
50,1,Morning,Control
50,1,Morning,Control
50,1,Morning,Control
50,1,Morning,Control
50,1,Morning,Control
50,1,Morning,Treatment
50,1,Morning,Treatment
50,1,Morning,Control
50,1,Morning,Control
50,1,Morning,Treatment
50,1,Morning,Treatment
50,1,Morning,Treatment
50,1,Morning,Treatment
50,1,Morning,Treatment
50,1,Morning,Control
50,1,Morning,Treatment
50,1,Morning,Control
50,1,Morning,Treatment
50,1,Night,Treatment
50,1,Night,Control
50,1,Night,Treatment
50,1,Night,Treatment
50,1,Night,Treatment
50,1,Night,Control
50,1,Night,Treatment
50,1,Night,Treatment
50,1,Night,Control
50,1,Night,Treatment
50,1,Night,Control
50,1,Night,Control
50,1,Night,Treatment
50,1,Night,Control
50,1,Night,Control
50,1,Night,Control
50,1,Night,Control
50,1,Night,Control
50,1,Night,Control
50,1,Night,Treatment
50,1,Night,Control
50,1,Night,Treatment
50,1,Night,Control
50,1,Night,Control
50,0,Night,Treatment
50,1,Night,Control
50,0,Night,Treatment
50,1,Night,Control
50,1,Night,Treatment
50,1,Night,Control
50,1,Night,Control
50,1,Night,Control
50,1,Night,Control
50,1,Night,Treatment
50,1,Night,Treatment
50,1,Night,Treatment
50,1,Night,Treatment
50,1,Night,Treatment
50,1,Night,Treatment
50,1,Night,Control
50,1,Night,Control
50,1,Night,Treatment
50,1,Night,Treatment
50,1,Night,Treatment
50,1,Night,Treatment
50,1,Night,Treatment
50,1,Night,Treatment
50,1,Night,Treatment
50,1,Night,Control
50,1,Night,Treatment
50,1,Night,Treatment
50,1,Night,Control
50,1,Night,Control
50,1,Night,Control
50,1,Night,Treatment
50,1,Night,Treatment
50,1,Night,Control
50,1,Night,Control
50,0,Night,Treatment
50,1,Night,Control
50,1,Night,Treatment
50,1,Night,Control
50,1,Night,Control
50,1,Night,Control
51,1,Morning,Treatment
51,0,Morning,Control
51,0,Morning,Control
51,1,Morning,Control
51,1,Morning,Treatment
51,1,Morning,Control
51,1,Morning,Treatment
51,1,Morning,Control
51,1,Morning,Control
51,1,Morning,Treatment
51,1,Morning,Control
51,1,Morning,Treatment
51,1,Morning,Control
51,1,Morning,Control
51,0,Morning,Treatment
51,1,Morning,Control
51,1,Morning,Treatment
51,1,Morning,Control
51,1,Morning,Treatment
51,1,Morning,Treatment
51,1,Morning,Treatment
51,1,Morning,Control
51,1,Morning,Treatment
51,1,Morning,Control
51,1,Morning,Treatment
51,1,Morning,Treatment
51,1,Morning,Treatment
51,1,Morning,Control
51,1,Morning,Control
51,1,Morning,Treatment
51,1,Morning,Control
51,1,Morning,Control
51,0,Morning,Control
51,1,Morning,Treatment
51,1,Morning,Control
51,0,Morning,Control
51,1,Morning,Treatment
51,1,Morning,Treatment
51,1,Morning,Treatment
51,1,Morning,Control
51,1,Morning,Treatment
51,1,Morning,Treatment
51,1,Morning,Treatment
51,0,Morning,Treatment
51,0,Morning,Treatment
51,1,Morning,Control
51,1,Morning,Control
51,1,Morning,Control
51,1,Morning,Treatment
51,1,Morning,Control
51,1,Morning,Treatment
51,1,Morning,Control
51,1,Morning,Control
51,1,Morning,Treatment
51,1,Morning,Control
51,1,Morning,Treatment
51,1,Morning,Treatment
51,1,Morning,Treatment
51,1,Morning,Treatment
51,1,Morning,Treatment
51,1,Morning,Control
51,1,Morning,Control
51,1,Morning,Control
51,1,Morning,Control
51,1,Night,Treatment
51,1,Night,Control
51,0,Night,Control
51,1,Night,Treatment
51,0,Night,Control
51,1,Night,Treatment
51,1,Night,Treatment
51,1,Night,Control
51,1,Night,Treatment
51,1,Night,Control
51,1,Night,Treatment
51,0,Night,Treatment
51,1,Night,Control
51,1,Night,Treatment
51,0,Night,Control
51,1,Night,Control
51,1,Night,Treatment
51,1,Night,Control
51,1,Night,Treatment
51,0,Night,Treatment
51,1,Night,Control
51,1,Night,Treatment
51,1,Night,Control
51,1,Night,Treatment
51,1,Night,Treatment
51,1,Night,Control
51,0,Night,Control
51,1,Night,Control
51,1,Night,Control
51,1,Night,Treatment
51,1,Night,Treatment
51,1,Night,Treatment
51,1,Night,Treatment
51,1,Night,Control
51,1,Night,Control
51,1,Night,Control
51,1,Night,Control
51,1,Night,Treatment
51,1,Night,Control
51,1,Night,Treatment
51,1,Night,Control
51,1,Night,Treatment
51,1,Night,Treatment
51,1,Night,Treatment
51,1,Night,Treatment
51,0,Night,Treatment
51,1,Night,Treatment
51,0,Night,Treatment
51,1,Night,Control
51,1,Night,Treatment
51,1,Night,Control
51,1,Night,Treatment
51,1,Night,Control
51,1,Night,Control
51,1,Night,Control
51,1,Night,Control
51,1,Night,Treatment
51,1,Night,Control
51,1,Night,Control
51,1,Night,Control
51,1,Night,Treatment
51,1,Night,Control
51,1,Night,Control
51,0,Night,Treatment
52,1,Morning,Control
52,1,Morning,Treatment
52,1,Morning,Control
52,1,Morning,Control
52,1,Morning,Control
52,1,Morning,Treatment
52,1,Morning,Treatment
52,0,Morning,Control
52,1,Morning,Control
52,1,Morning,Treatment
52,0,Morning,Control
52,1,Morning,Treatment
52,1,Morning,Treatment
52,1,Morning,Control
52,1,Morning,Control
52,1,Morning,Treatment
52,1,Morning,Control
52,1,Morning,Treatment
52,1,Morning,Control
52,1,Morning,Treatment
52,1,Morning,Control
52,1,Morning,Control
52,1,Morning,Treatment
52,1,Morning,Control
52,1,Morning,Treatment
52,1,Morning,Treatment
52,1,Morning,Treatment
52,1,Morning,Treatment
52,1,Morning,Treatment
52,1,Morning,Treatment
52,1,Morning,Control
52,1,Morning,Control
52,1,Morning,Treatment
52,1,Morning,Treatment
52,1,Morning,Control
52,1,Morning,Treatment
52,1,Morning,Treatment
52,1,Morning,Control
52,1,Morning,Control
52,1,Morning,Control
52,1,Morning,Treatment
52,1,Morning,Control
52,1,Morning,Treatment
52,1,Morning,Treatment
52,1,Morning,Treatment
52,1,Morning,Control
52,1,Morning,Treatment
52,1,Morning,Control
52,1,Morning,Control
52,1,Morning,Control
52,1,Morning,Treatment
52,0,Morning,Control
52,1,Morning,Control
52,1,Morning,Control
52,1,Morning,Treatment
52,1,Morning,Treatment
52,1,Morning,Treatment
52,1,Morning,Control
52,1,Morning,Control
52,1,Morning,Treatment
52,1,Morning,Treatment
52,1,Morning,Control
52,1,Morning,Control
52,1,Morning,Treatment
52,1,Night,Treatment
52,1,Night,Control
52,1,Night,Control
52,1,Night,Treatment
52,1,Night,Treatment
52,1,Night,Control
52,1,Night,Treatment
52,0,Night,Treatment
52,1,Night,Control
52,1,Night,Treatment
52,0,Night,Control
52,1,Night,Control
52,1,Night,Control
52,0,Night,Treatment
52,1,Night,Control
52,1,Night,Treatment
52,1,Night,Control
52,0,Night,Treatment
52,1,Night,Treatment
52,1,Night,Control
52,1,Night,Treatment
52,1,Night,Control
52,1,Night,Treatment
52,1,Night,Control
52,1,Night,Control
52,1,Night,Control
52,1,Night,Treatment
52,0,Night,Treatment
52,1,Night,Control
52,1,Night,Treatment
52,1,Night,Treatment
52,1,Night,Control
52,1,Night,Control
52,1,Night,Control
52,1,Night,Treatment
52,1,Night,Control
52,1,Night,Treatment
52,1,Night,Treatment
52,1,Night,Control
52,1,Night,Treatment
52,1,Night,Treatment
52,0,Night,Control
52,1,Night,Control
52,1,Night,Control
52,1,Night,Control
52,1,Night,Treatment
52,1,Night,Treatment
52,1,Night,Treatment
52,1,Night,Control
52,1,Night,Control
52,1,Night,Control
52,1,Night,Treatment
52,1,Night,Control
52,1,Night,Treatment
52,0,Night,Treatment
52,1,Night,Control
52,1,Night,Control
52,1,Night,Control
52,1,Night,Treatment
52,1,Night,Control
52,0,Night,Treatment
52,1,Night,Treatment
52,1,Night,Treatment
52,1,Night,Treatment
53,0,Morning,Control
53,1,Morning,Treatment
53,1,Morning,Treatment
53,0,Morning,Control
53,1,Morning,Treatment
53,0,Morning,Control
53,1,Morning,Treatment
53,0,Morning,Control
53,0,Morning,Treatment
53,0,Morning,Treatment
53,1,Morning,Control
53,0,Morning,Control
53,0,Morning,Control
53,1,Morning,Control
53,0,Morning,Treatment
53,1,Morning,Control
53,0,Morning,Treatment
53,0,Morning,Control
53,1,Morning,Treatment
53,0,Morning,Control
53,0,Morning,Treatment
53,1,Morning,Treatment
53,1,Morning,Treatment
53,0,Morning,Treatment
53,1,Morning,Treatment
53,0,Morning,Treatment
53,0,Morning,Treatment
53,1,Morning,Control
53,0,Morning,Treatment
53,1,Morning,Treatment
53,0,Morning,Treatment
53,0,Morning,Control
53,0,Morning,Control
53,0,Morning,Treatment
53,1,Morning,Control
53,0,Morning,Control
53,1,Morning,Treatment
53,1,Morning,Control
53,0,Morning,Control
53,0,Morning,Control
53,1,Morning,Treatment
53,0,Morning,Control
53,0,Morning,Control
53,1,Morning,Control
53,0,Morning,Treatment
53,1,Morning,Treatment
53,0,Morning,Control
53,1,Morning,Treatment
53,1,Morning,Control
53,1,Morning,Treatment
53,1,Morning,Treatment
53,1,Morning,Control
53,0,Morning,Control
53,0,Morning,Control
53,1,Morning,Control
53,1,Morning,Treatment
53,1,Morning,Control
53,0,Morning,Control
53,1,Morning,Treatment
53,1,Morning,Control
53,1,Morning,Treatment
53,0,Morning,Treatment
53,1,Morning,Control
53,1,Morning,Treatment
53,1,Night,Treatment
53,1,Night,Control
53,1,Night,Control
53,0,Night,Control
53,1,Night,Control
53,1,Night,Control
53,1,Night,Treatment
53,1,Night,Treatment
53,1,Night,Control
53,0,Night,Treatment
53,1,Night,Control
53,0,Night,Treatment
53,1,Night,Treatment
53,1,Night,Treatment
53,1,Night,Control
53,1,Night,Control
53,1,Night,Treatment
53,1,Night,Treatment
53,1,Night,Treatment
53,1,Night,Control
53,1,Night,Control
53,0,Night,Treatment
53,1,Night,Control
53,0,Night,Treatment
53,1,Night,Treatment
53,1,Night,Control
53,1,Night,Control
53,1,Night,Control
53,1,Night,Control
53,1,Night,Control
53,1,Night,Treatment
53,0,Night,Control
53,1,Night,Treatment
53,1,Night,Control
53,1,Night,Treatment
53,1,Night,Control
53,1,Night,Control
53,1,Night,Treatment
53,1,Night,Treatment
53,1,Night,Treatment
53,0,Night,Control
53,0,Night,Treatment
53,0,Night,Treatment
53,1,Night,Control
53,1,Night,Treatment
53,1,Night,Treatment
53,1,Night,Treatment
53,0,Night,Treatment
53,0,Night,Treatment
53,1,Night,Treatment
53,1,Night,Control
53,1,Night,Treatment
53,1,Night,Control
53,1,Night,Treatment
53,1,Night,Treatment
53,1,Night,Control
53,1,Night,Control
53,1,Night,Treatment
53,1,Night,Control
53,1,Night,Control
53,1,Night,Treatment
53,1,Night,Control
53,1,Night,Control
53,1,Night,Control
54,1,Morning,Treatment
54,1,Morning,Treatment
54,0,Morning,Control
54,1,Morning,Control
54,1,Morning,Treatment
54,1,Morning,Control
54,1,Morning,Control
54,1,Morning,Control
54,1,Morning,Treatment
54,1,Morning,Treatment
54,0,Morning,Control
54,1,Morning,Treatment
54,1,Morning,Control
54,1,Morning,Treatment
54,1,Morning,Treatment
54,1,Morning,Control
54,1,Morning,Control
54,1,Morning,Control
54,1,Morning,Control
54,1,Morning,Treatment
54,1,Morning,Treatment
54,1,Morning,Treatment
54,1,Morning,Treatment
54,1,Morning,Treatment
54,1,Morning,Treatment
54,1,Morning,Control
54,1,Morning,Control
54,1,Morning,Control
54,1,Morning,Treatment
54,1,Morning,Control
54,1,Morning,Control
54,1,Morning,Control
54,1,Morning,Treatment
54,1,Morning,Control
54,0,Morning,Control
54,1,Morning,Control
54,1,Morning,Control
54,1,Morning,Control
54,0,Morning,Treatment
54,1,Morning,Treatment
54,1,Morning,Treatment
54,1,Morning,Treatment
54,1,Morning,Treatment
54,1,Morning,Treatment
54,1,Morning,Control
54,1,Morning,Control
54,1,Morning,Treatment
54,1,Morning,Treatment
54,1,Morning,Treatment
54,1,Morning,Control
54,1,Morning,Treatment
54,1,Morning,Treatment
54,1,Morning,Treatment
54,1,Morning,Control
54,1,Morning,Control
54,1,Morning,Treatment
54,1,Morning,Control
54,1,Morning,Treatment
54,0,Morning,Control
54,1,Morning,Control
54,1,Morning,Control
54,1,Morning,Treatment
54,1,Morning,Treatment
54,1,Morning,Control
54,1,Night,Control
54,1,Night,Control
54,1,Night,Treatment
54,0,Night,Control
54,1,Night,Treatment
54,1,Night,Control
54,1,Night,Control
54,1,Night,Treatment
54,1,Night,Control
54,1,Night,Treatment
54,1,Night,Treatment
54,1,Night,Treatment
54,1,Night,Control
54,1,Night,Control
54,1,Night,Treatment
54,1,Night,Control
54,1,Night,Treatment
54,1,Night,Treatment
54,1,Night,Control
54,1,Night,Control
54,1,Night,Control
54,1,Night,Treatment
54,1,Night,Control
54,1,Night,Treatment
54,1,Night,Control
54,1,Night,Treatment
54,1,Night,Treatment
54,1,Night,Treatment
54,1,Night,Control
54,0,Night,Treatment
54,1,Night,Treatment
54,1,Night,Treatment
54,1,Night,Treatment
54,1,Night,Control
54,1,Night,Treatment
54,1,Night,Treatment
54,1,Night,Treatment
54,1,Night,Control
54,1,Night,Treatment
54,1,Night,Control
54,1,Night,Control
54,1,Night,Treatment
54,1,Night,Treatment
54,1,Night,Control
54,1,Night,Treatment
54,1,Night,Treatment
54,0,Night,Treatment
54,1,Night,Treatment
54,1,Night,Control
54,1,Night,Control
54,1,Night,Treatment
54,1,Night,Control
54,1,Night,Control
54,1,Night,Control
54,1,Night,Control
54,1,Night,Control
54,1,Night,Control
54,1,Night,Control
54,1,Night,Treatment
54,1,Night,Treatment
54,1,Night,Control
54,1,Night,Control
54,1,Night,Treatment
54,1,Night,Control
55,1,Morning,Treatment
55,1,Morning,Control
55,1,Morning,Control
55,1,Morning,Control
55,1,Morning,Treatment
55,1,Morning,Control
55,0,Morning,Treatment
55,1,Morning,Treatment
55,1,Morning,Treatment
55,1,Morning,Treatment
55,1,Morning,Control
55,1,Morning,Treatment
55,1,Morning,Control
55,0,Morning,Control
55,1,Morning,Treatment
55,1,Morning,Treatment
55,1,Morning,Treatment
55,1,Morning,Treatment
55,1,Morning,Control
55,1,Morning,Treatment
55,0,Morning,Control
55,1,Morning,Control
55,1,Morning,Control
55,1,Morning,Treatment
55,1,Morning,Treatment
55,1,Morning,Control
55,1,Morning,Treatment
55,0,Morning,Treatment
55,1,Morning,Treatment
55,1,Morning,Treatment
55,1,Morning,Control
55,1,Morning,Control
55,1,Morning,Control
55,1,Morning,Control
55,1,Morning,Treatment
55,1,Morning,Treatment
55,0,Morning,Treatment
55,1,Morning,Treatment
55,1,Morning,Control
55,1,Morning,Control
55,1,Morning,Treatment
55,1,Morning,Control
55,1,Morning,Treatment
55,1,Morning,Control
55,1,Morning,Control
55,1,Morning,Control
55,0,Morning,Control
55,1,Morning,Control
55,1,Morning,Treatment
55,1,Morning,Control
55,1,Morning,Control
55,1,Morning,Control
55,1,Morning,Treatment
55,1,Morning,Control
55,1,Morning,Treatment
55,1,Morning,Treatment
55,1,Morning,Control
55,1,Morning,Treatment
55,1,Morning,Control
55,1,Morning,Treatment
55,1,Morning,Treatment
55,1,Morning,Treatment
55,1,Morning,Control
55,1,Morning,Control
55,1,Night,Control
55,0,Night,Treatment
55,0,Night,Treatment
55,1,Night,Control
55,1,Night,Treatment
55,1,Night,Treatment
55,1,Night,Control
55,0,Night,Treatment
55,1,Night,Treatment
55,1,Night,Control
55,1,Night,Control
55,1,Night,Treatment
55,1,Night,Control
55,1,Night,Treatment
55,1,Night,Treatment
55,1,Night,Treatment
55,0,Night,Control
55,1,Night,Control
55,1,Night,Control
55,1,Night,Treatment
55,1,Night,Control
55,1,Night,Treatment
55,1,Night,Control
55,1,Night,Control
55,1,Night,Treatment
55,1,Night,Control
55,1,Night,Treatment
55,1,Night,Control
55,1,Night,Control
55,1,Night,Treatment
55,1,Night,Control
55,1,Night,Treatment
55,1,Night,Control
55,1,Night,Control
55,1,Night,Treatment
55,1,Night,Treatment
55,1,Night,Treatment
55,1,Night,Treatment
55,1,Night,Treatment
55,1,Night,Treatment
55,1,Night,Control
55,1,Night,Control
55,1,Night,Control
55,1,Night,Control
55,1,Night,Treatment
55,1,Night,Control
55,1,Night,Treatment
55,1,Night,Treatment
55,1,Night,Control
55,1,Night,Control
55,1,Night,Control
55,1,Night,Control
55,1,Night,Treatment
55,1,Night,Treatment
55,1,Night,Treatment
55,1,Night,Control
55,1,Night,Treatment
55,1,Night,Treatment
55,1,Night,Control
55,1,Night,Control
55,1,Night,Control
55,1,Night,Control
55,1,Night,Treatment
55,1,Night,Treatment
56,1,Morning,Treatment
56,1,Morning,Treatment
56,1,Morning,Control
56,1,Morning,Control
56,1,Morning,Treatment
56,1,Morning,Control
56,1,Morning,Treatment
56,1,Morning,Control
56,1,Morning,Treatment
56,1,Morning,Treatment
56,1,Morning,Control
56,1,Morning,Treatment
56,1,Morning,Control
56,1,Morning,Control
56,1,Morning,Control
56,1,Morning,Control
56,1,Morning,Treatment
56,1,Morning,Control
56,1,Morning,Control
56,1,Morning,Treatment
56,1,Morning,Control
56,1,Morning,Treatment
56,1,Morning,Control
56,1,Morning,Treatment
56,0,Morning,Control
56,1,Morning,Treatment
56,1,Morning,Treatment
56,1,Morning,Treatment
56,1,Morning,Control
56,1,Morning,Control
56,1,Morning,Control
56,1,Morning,Treatment
56,0,Morning,Control
56,1,Morning,Treatment
56,1,Morning,Control
56,0,Morning,Treatment
56,1,Morning,Control
56,1,Morning,Treatment
56,0,Morning,Control
56,1,Morning,Treatment
56,1,Morning,Control
56,1,Morning,Treatment
56,1,Morning,Control
56,1,Morning,Treatment
56,1,Morning,Control
56,1,Morning,Control
56,1,Morning,Treatment
56,1,Morning,Treatment
56,0,Morning,Control
56,1,Morning,Control
56,0,Morning,Treatment
56,1,Morning,Treatment
56,1,Morning,Treatment
56,1,Morning,Control
56,1,Morning,Control
56,1,Morning,Control
56,0,Morning,Control
56,1,Morning,Treatment
56,1,Morning,Control
56,1,Morning,Treatment
56,1,Morning,Treatment
56,1,Morning,Treatment
56,1,Morning,Treatment
56,1,Morning,Treatment
56,1,Night,Control
56,1,Night,Treatment
56,1,Night,Control
56,1,Night,Treatment
56,1,Night,Control
56,1,Night,Treatment
56,1,Night,Control
56,1,Night,Control
56,1,Night,Treatment
56,1,Night,Treatment
56,1,Night,Treatment
56,1,Night,Control
56,1,Night,Treatment
56,1,Night,Treatment
56,1,Night,Control
56,1,Night,Control
56,1,Night,Treatment
56,1,Night,Treatment
56,1,Night,Treatment
56,1,Night,Treatment
56,0,Night,Treatment
56,1,Night,Control
56,1,Night,Treatment
56,1,Night,Control
56,1,Night,Treatment
56,1,Night,Control
56,1,Night,Control
56,1,Night,Treatment
56,1,Night,Control
56,1,Night,Treatment
56,1,Night,Treatment
56,1,Night,Control
56,1,Night,Control
56,1,Night,Control
56,1,Night,Treatment
56,1,Night,Control
56,1,Night,Treatment
56,1,Night,Treatment
56,1,Night,Control
56,1,Night,Control
56,1,Night,Treatment
56,1,Night,Control
56,1,Night,Control
56,0,Night,Control
56,1,Night,Control
56,1,Night,Treatment
56,1,Night,Control
56,1,Night,Control
56,1,Night,Control
56,1,Night,Control
56,1,Night,Treatment
56,1,Night,Treatment
56,1,Night,Control
56,1,Night,Treatment
56,1,Night,Control
56,1,Night,Treatment
56,1,Night,Control
56,1,Night,Control
56,1,Night,Treatment
56,1,Night,Treatment
56,1,Night,Treatment
56,1,Night,Control
56,1,Night,Treatment
56,1,Night,Treatment
57,1,Morning,Control
57,1,Morning,Treatment
57,1,Morning,Treatment
57,1,Morning,Control
57,1,Morning,Treatment
57,0,Morning,Control
57,1,Morning,Treatment
57,1,Morning,Control
57,1,Morning,Treatment
57,1,Morning,Control
57,1,Morning,Control
57,1,Morning,Treatment
57,1,Morning,Treatment
57,1,Morning,Control
57,1,Morning,Control
57,1,Morning,Treatment
57,1,Morning,Treatment
57,1,Morning,Treatment
57,1,Morning,Treatment
57,0,Morning,Control
57,1,Morning,Treatment
57,1,Morning,Treatment
57,1,Morning,Treatment
57,1,Morning,Control
57,1,Morning,Treatment
57,1,Morning,Treatment
57,1,Morning,Treatment
57,1,Morning,Treatment
57,1,Morning,Control
57,0,Morning,Control
57,1,Morning,Treatment
57,1,Morning,Treatment
57,1,Morning,Control
57,1,Morning,Treatment
57,1,Morning,Control
57,1,Morning,Treatment
57,1,Morning,Treatment
57,1,Morning,Treatment
57,1,Morning,Treatment
57,1,Morning,Treatment
57,1,Morning,Control
57,1,Morning,Control
57,1,Morning,Control
57,1,Morning,Treatment
57,1,Morning,Control
57,1,Morning,Treatment
57,1,Morning,Control
57,1,Morning,Control
57,1,Morning,Control
57,1,Morning,Control
57,1,Morning,Control
57,1,Morning,Control
57,1,Morning,Control
57,1,Morning,Treatment
57,1,Morning,Treatment
57,1,Morning,Treatment
57,1,Morning,Control
57,1,Morning,Control
57,1,Morning,Control
57,1,Morning,Control
57,1,Morning,Treatment
57,1,Morning,Control
57,1,Morning,Control
57,1,Morning,Control
57,1,Night,Treatment
57,1,Night,Control
57,1,Night,Control
57,0,Night,Treatment
57,0,Night,Treatment
57,1,Night,Control
57,1,Night,Treatment
57,1,Night,Control
57,1,Night,Treatment
57,1,Night,Control
57,1,Night,Treatment
57,1,Night,Treatment
57,1,Night,Control
57,1,Night,Treatment
57,1,Night,Control
57,1,Night,Control
57,1,Night,Treatment
57,1,Night,Treatment
57,1,Night,Treatment
57,0,Night,Treatment
57,1,Night,Control
57,1,Night,Treatment
57,1,Night,Treatment
57,1,Night,Treatment
57,1,Night,Control
57,1,Night,Treatment
57,1,Night,Treatment
57,1,Night,Treatment
57,1,Night,Control
57,1,Night,Control
57,1,Night,Treatment
57,1,Night,Control
57,1,Night,Control
57,1,Night,Treatment
57,1,Night,Treatment
57,1,Night,Control
57,1,Night,Treatment
57,1,Night,Treatment
57,1,Night,Treatment
57,1,Night,Control
57,1,Night,Control
57,1,Night,Control
57,1,Night,Control
57,1,Night,Treatment
57,1,Night,Control
57,1,Night,Treatment
57,1,Night,Control
57,1,Night,Treatment
57,1,Night,Control
57,1,Night,Control
57,1,Night,Treatment
57,1,Night,Control
57,1,Night,Treatment
57,1,Night,Control
57,0,Night,Control
57,0,Night,Control
57,1,Night,Treatment
57,1,Night,Control
57,0,Night,Control
57,1,Night,Treatment
57,1,Night,Treatment
57,0,Night,Control
57,1,Night,Control
57,1,Night,Control
58,1,Morning,Control
58,1,Morning,Treatment
58,1,Morning,Control
58,1,Morning,Treatment
58,1,Morning,Control
58,1,Morning,Control
58,1,Morning,Control
58,1,Morning,Treatment
58,1,Morning,Control
58,1,Morning,Treatment
58,1,Morning,Treatment
58,1,Morning,Treatment
58,1,Morning,Treatment
58,1,Morning,Treatment
58,1,Morning,Treatment
58,1,Morning,Treatment
58,1,Morning,Treatment
58,1,Morning,Treatment
58,1,Morning,Control
58,1,Morning,Treatment
58,1,Morning,Control
58,1,Morning,Treatment
58,1,Morning,Treatment
58,1,Morning,Treatment
58,1,Morning,Control
58,0,Morning,Control
58,1,Morning,Control
58,1,Morning,Treatment
58,1,Morning,Control
58,1,Morning,Control
58,1,Morning,Control
58,1,Morning,Treatment
58,1,Morning,Treatment
58,1,Morning,Treatment
58,1,Morning,Treatment
58,1,Morning,Treatment
58,1,Morning,Treatment
58,1,Morning,Control
58,1,Morning,Control
58,1,Morning,Control
58,1,Morning,Control
58,1,Morning,Control
58,1,Morning,Control
58,1,Morning,Treatment
58,1,Morning,Treatment
58,1,Morning,Treatment
58,1,Morning,Control
58,1,Morning,Treatment
58,1,Morning,Control
58,1,Morning,Treatment
58,1,Morning,Control
58,1,Morning,Control
58,1,Morning,Control
58,0,Morning,Control
58,1,Morning,Treatment
58,1,Morning,Control
58,1,Morning,Control
58,1,Morning,Control
58,1,Morning,Treatment
58,1,Morning,Control
58,1,Morning,Control
58,1,Morning,Treatment
58,1,Morning,Treatment
58,1,Morning,Control
58,1,Night,Control
58,1,Night,Control
58,1,Night,Treatment
58,1,Night,Treatment
58,1,Night,Treatment
58,1,Night,Control
58,1,Night,Control
58,1,Night,Treatment
58,1,Night,Control
58,1,Night,Treatment
58,1,Night,Treatment
58,1,Night,Control
58,1,Night,Treatment
